step,epoch,loss,cosine,pred_norm,target_norm,lr,ema
156,1,0.006257289554923773,,,,1.1775e-06,1.0
157,1,0.006223650649189949,,,,1.185e-06,1.0
158,1,0.0062409499660134315,,,,1.1925e-06,1.0
159,1,0.006252030376344919,,,,1.2000000000000002e-06,1.0
160,1,0.006169816013425589,,,,1.2075e-06,1.0
161,1,0.006198175251483917,,,,1.215e-06,1.0
162,1,0.006192272063344717,,,,1.2225000000000002e-06,1.0
163,1,0.006161209661513567,,,,1.2299999999999999e-06,1.0
164,1,0.006119503639638424,,,,1.2375e-06,1.0
165,1,0.00613468699157238,,,,1.245e-06,1.0
166,1,0.006183028221130371,,,,1.2524999999999999e-06,1.0
167,1,0.006086449604481459,,,,1.26e-06,1.0
168,1,0.006130187306553125,,,,1.2675e-06,1.0
169,1,0.0061137499287724495,,,,1.275e-06,1.0
170,1,0.006068096496164799,,,,1.2825e-06,1.0
171,1,0.006106700748205185,,,,1.2900000000000001e-06,1.0
172,1,0.006049999035894871,,,,1.2975e-06,1.0
173,1,0.006024956703186035,,,,1.305e-06,1.0
174,1,0.0060672517865896225,,,,1.3125000000000001e-06,1.0
175,1,0.006065270397812128,,,,1.32e-06,1.0
176,1,0.006083650514483452,,,,1.3275000000000002e-06,1.0
177,1,0.0059830741956830025,,,,1.3350000000000001e-06,1.0
178,1,0.005987113807350397,,,,1.3424999999999999e-06,1.0
179,1,0.005991218611598015,,,,1.35e-06,1.0
180,1,0.005929948762059212,,,,1.3575e-06,1.0
181,1,0.0059564923867583275,,,,1.365e-06,1.0
182,1,0.005877908784896135,,,,1.3725e-06,1.0
183,1,0.00599336065351963,,,,1.38e-06,1.0
184,1,0.005866446532309055,,,,1.3875e-06,1.0
185,1,0.005921241361647844,,,,1.395e-06,1.0
186,1,0.005874665454030037,,,,1.4025000000000001e-06,1.0
187,1,0.0058472640812397,,,,1.41e-06,1.0
188,1,0.005845922976732254,,,,1.4175000000000002e-06,1.0
189,1,0.005830465815961361,,,,1.4250000000000001e-06,1.0
190,1,0.005801086779683828,,,,1.4325e-06,1.0
191,1,0.005834856536239386,,,,1.4400000000000002e-06,1.0
192,1,0.005804260261356831,,,,1.4475e-06,1.0
193,1,0.005738195031881332,,,,1.455e-06,1.0
194,1,0.005792694166302681,,,,1.4625e-06,1.0
195,1,0.00576787069439888,,,,1.47e-06,1.0
196,1,0.005739119369536638,,,,1.4775e-06,1.0
197,1,0.005785524379462004,,,,1.485e-06,1.0
198,1,0.0056996531784534454,,,,1.4925000000000001e-06,1.0
199,1,0.005724129267036915,0.2673114538192749,1.0,1.0,1.5e-06,1.0
200,1,0.00566602498292923,,,,1.5075e-06,1.0
201,1,0.00567050464451313,,,,1.5150000000000001e-06,1.0
202,1,0.005692011676728725,,,,1.5225e-06,1.0
203,1,0.005685007199645042,,,,1.5300000000000002e-06,1.0
204,1,0.005606639198958874,,,,1.5375e-06,1.0
205,1,0.005669704172760248,,,,1.545e-06,1.0
